POS_X,POS_Y,FLAPPED,DIST_TO_PIPE,LOW_PIPE_Y,TOP_PIPE_Y,INPUT_X,INPUT_Y,TIME
57,237,____,484,258,-212,427,-707,42:38
57,237,JUMPED,484,258,-212,427,-707,42:38
57,228,____,480,258,-212,423,-698,42:38
57,228,JUMPED,480,258,-212,423,-698,42:38
57,219,____,476,258,-212,419,-689,42:38
57,219,JUMPED,476,258,-212,419,-689,42:38
57,210,____,472,258,-212,415,-680,42:38
57,210,JUMPED,472,258,-212,415,-680,42:38
57,201,____,468,258,-212,411,-671,42:38
57,201,JUMPED,468,258,-212,411,-671,42:38
57,193,____,464,258,-212,407,-663,42:38
57,193,____,464,258,-212,407,-663,42:38
57,186,____,460,258,-212,403,-656,42:38
57,186,____,460,258,-212,403,-656,42:38
57,180,____,456,258,-212,399,-650,42:38
57,180,____,456,258,-212,399,-650,42:38
57,175,____,452,258,-212,395,-645,42:38
57,175,____,452,258,-212,395,-645,42:38
57,171,____,448,258,-212,391,-641,42:38
57,171,____,448,258,-212,391,-641,42:38
57,168,____,444,258,-212,387,-638,42:38
57,168,____,444,258,-212,387,-638,42:38
57,166,____,440,258,-212,383,-636,42:38
57,166,____,440,258,-212,383,-636,42:38
57,165,____,436,258,-212,379,-635,42:38
57,165,____,436,258,-212,379,-635,42:38
57,165,____,432,258,-212,375,-635,42:38
57,165,____,432,258,-212,375,-635,42:38
57,166,____,428,258,-212,371,-636,42:38
57,166,____,428,258,-212,371,-636,42:38
57,168,____,424,258,-212,367,-638,42:38
57,168,____,424,258,-212,367,-638,42:38
57,171,____,420,258,-212,363,-641,42:38
57,171,____,420,258,-212,363,-641,42:38
57,175,____,416,258,-212,359,-645,42:39
57,175,____,416,258,-212,359,-645,42:39
57,180,____,412,258,-212,355,-650,42:39
57,180,____,412,258,-212,355,-650,42:39
57,186,____,408,258,-212,351,-656,42:39
57,186,____,408,258,-212,351,-656,42:39
57,193,____,404,258,-212,347,-663,42:39
57,193,JUMPED,404,258,-212,347,-663,42:39
57,201,____,400,258,-212,343,-671,42:39
57,201,JUMPED,400,258,-212,343,-671,42:39
57,210,____,396,258,-212,339,-680,42:39
57,210,JUMPED,396,258,-212,339,-680,42:39
57,201,____,392,258,-212,335,-671,42:39
57,201,JUMPED,392,258,-212,335,-671,42:39
57,193,____,388,258,-212,331,-663,42:39
57,193,____,388,258,-212,331,-663,42:39
57,186,____,384,258,-212,327,-656,42:39
57,186,____,384,258,-212,327,-656,42:39
57,180,____,380,258,-212,323,-650,42:39
57,180,____,380,258,-212,323,-650,42:39
57,175,____,376,258,-212,319,-645,42:39
57,175,____,376,258,-212,319,-645,42:39
57,171,____,372,258,-212,315,-641,42:39
57,171,____,372,258,-212,315,-641,42:39
57,168,____,368,258,-212,311,-638,42:39
57,168,____,368,258,-212,311,-638,42:39
57,166,____,364,258,-212,307,-636,42:39
57,166,____,364,258,-212,307,-636,42:39
57,165,____,360,258,-212,303,-635,42:39
57,165,____,360,258,-212,303,-635,42:39
57,165,____,356,258,-212,299,-635,42:39
57,165,____,356,258,-212,299,-635,42:39
57,166,____,352,258,-212,295,-636,42:39
57,166,____,352,258,-212,295,-636,42:39
57,168,____,348,258,-212,291,-638,42:39
57,168,____,348,258,-212,291,-638,42:39
57,171,____,344,258,-212,287,-641,42:39
57,171,____,344,258,-212,287,-641,42:39
57,175,____,340,258,-212,283,-645,42:39
57,175,____,340,258,-212,283,-645,42:39
57,180,____,336,258,-212,279,-650,42:39
57,180,____,336,258,-212,279,-650,42:39
57,186,____,332,258,-212,275,-656,42:39
57,186,____,332,258,-212,275,-656,42:39
57,193,____,328,258,-212,271,-663,42:39
57,193,JUMPED,328,258,-212,271,-663,42:39
57,201,____,324,258,-212,267,-671,42:39
57,201,JUMPED,324,258,-212,267,-671,42:39
57,210,____,320,258,-212,263,-680,42:39
57,210,JUMPED,320,258,-212,263,-680,42:39
57,201,____,316,258,-212,259,-671,42:39
57,201,JUMPED,316,258,-212,259,-671,42:39
57,193,____,312,258,-212,255,-663,42:39
57,193,____,312,258,-212,255,-663,42:39
57,186,____,308,258,-212,251,-656,42:39
57,186,____,308,258,-212,251,-656,42:39
57,180,____,304,258,-212,247,-650,42:39
57,180,____,304,258,-212,247,-650,42:39
57,175,____,300,258,-212,243,-645,42:39
57,175,____,300,258,-212,243,-645,42:39
57,171,____,296,258,-212,239,-641,42:40
57,171,____,296,258,-212,239,-641,42:40
57,168,____,292,258,-212,235,-638,42:40
57,168,____,292,258,-212,235,-638,42:40
57,166,____,288,258,-212,231,-636,42:40
57,166,____,288,258,-212,231,-636,42:40
57,165,____,284,258,-212,227,-635,42:40
57,165,____,284,258,-212,227,-635,42:40
57,165,____,280,258,-212,223,-635,42:40
57,165,____,280,258,-212,223,-635,42:40
57,166,____,276,258,-212,219,-636,42:40
57,166,____,276,258,-212,219,-636,42:40
57,168,____,272,258,-212,215,-638,42:40
57,168,____,272,258,-212,215,-638,42:40
57,171,____,268,258,-212,211,-641,42:40
57,171,____,268,258,-212,211,-641,42:40
